ItemNumber,2023-04-08,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-09,2023-08-16,2023-08-18,2023-08-22,2023-08-25,2023-09-07,2023-09-29,2023-10-07,2023-10-13
064-09-4261,10505,0,0,0,0,11741,11741,0,0,0,11257,11741,10505,11741
064-09-4332,6816,0,0,0,0,7356,7356,0,0,0,7088,7084,6816,7084
064-09-4450,10428,0,0,0,0,11552,11552,0,0,0,11096,11552,10428,11552
064-09-4642,5658,0,0,0,0,6270,6270,0,0,0,5966,5966,5658,5966
064-09-4784,7563,0,0,0,0,8155,8155,0,0,0,7859,7859,7563,7859
064-09-5086,7639,0,0,0,0,8179,8179,0,0,0,7911,7639,7639,7639
064-09-5125,16285,0,0,0,0,17389,17389,0,0,0,16837,17389,16285,17389
064-09-5282,11093,0,0,0,0,11853,11853,0,0,0,11473,11853,11093,11853
064-09-5287,22109,22297,0,0,0,23681,23681,24909,0,0,22989,23681,22109,23681
064-09-5457,6656,0,0,0,0,7180,7180,0,0,0,6920,6656,6656,6656
064-09-5503,6588,0,0,0,0,6972,6972,0,0,0,6780,6780,6588,6780
064-09-5559,9536,0,0,0,0,10236,10236,0,0,0,9884,10236,9536,10236
064-09-6094,15340,0,0,0,0,16444,16444,0,0,0,15892,16444,15340,16444
064-09-6380,8302,0,0,0,0,8966,8966,0,0,0,8634,8634,8302,8634
064-09-6826,24091,24583,0,0,24091,26279,26279,24691,0,0,0,27971,25431,27971
064-09-6933,6432,0,0,0,0,6816,6816,0,0,0,6624,6624,6432,6624
064-09-7633,10872,0,0,0,0,11800,11800,0,0,0,11336,11800,10872,11800
064-09-7924,22507,22939,0,0,0,24575,24575,24307,0,0,23759,24575,22507,24575
064-09-8136,18414,0,0,0,0,19618,19618,21414,0,0,19070,19618,18414,19618
064-09-8249,11505,0,0,0,0,12397,12397,0,0,0,11953,12397,11505,12397
064-09-8353,7874,0,0,0,0,8486,8486,0,0,0,8182,8182,7874,8182
064-09-8707,9554,0,0,0,0,10218,10218,0,0,0,9886,10218,9554,10218
064-09-9076,22642,23050,0,0,0,24762,24762,23942,0,0,23906,24762,22642,24762
064-09-9115,22926,23446,0,0,0,25362,25362,24326,0,0,24406,25362,22926,25362
064-09-9129,12303,0,0,0,0,13175,13175,0,0,0,12739,13175,12303,13175
064-09-9139,10030,0,0,0,0,10750,10750,0,0,0,10390,10750,10030,10750
064-09-9411,3207,0,0,0,0,3679,3679,0,0,0,3443,3443,3207,3443
064-11-0005,6120,5928,0,0,0,7388,9504,0,0,0,7216,6488,6348,5988
064-11-0082,9134,8238,0,0,0,10606,14210,0,0,0,10102,9206,9518,9006
064-11-0151,14721,14685,0,0,0,0,20333,0,0,0,16785,0,14877,0
064-11-0594,11985,0,0,0,0,13957,16155,0,0,0,13889,19957,12193,0
064-11-0996,19497,0,0,0,0,19089,24911,0,0,0,21169,0,19777,0
064-11-1026,13241,0,0,0,0,15537,17327,0,0,0,14885,14337,13421,13237
064-11-2793,17401,17789,0,0,0,16529,22513,0,0,0,20909,0,17777,16729
064-11-2824,8604,0,0,0,0,10936,13448,0,0,0,8820,0,8716,9436
064-11-4530,8790,8190,0,0,0,0,12594,0,0,0,9850,0,8998,8954
064-11-5125,11685,0,0,0,0,13405,16005,0,0,0,12033,13005,12021,0
064-13-0002,0,10299,0,0,0,0,10719,0,0,0,0,10099,10327,0
064-13-0007,0,0,5333,0,5169,4169,5845,0,0,0,0,4169,0,3769
064-13-0010,0,0,0,0,12192,11052,12058,0,0,0,12192,16852,0,14052
064-13-0228,0,0,0,0,0,0,9103,0,0,0,0,8219,8251,8119
064-13-0327,5194,0,0,0,0,4406,6842,0,0,0,0,4106,5458,0
064-13-0328,11880,0,0,0,0,0,13228,0,0,0,0,10724,11202,10524
064-13-0332,9180,0,0,0,0,0,10808,0,0,0,0,0,10196,9756
064-13-0338,0,7934,0,0,0,0,8150,0,0,0,0,7534,7690,7434
064-13-0340,0,9358,0,0,0,0,10782,0,0,0,0,9358,10138,9258
064-13-0345,3926,0,0,0,0,0,4598,0,0,0,4402,0,0,4134
064-13-0346,0,0,0,0,0,0,0,0,0,0,324,0,0,0
064-13-0351,5789,0,0,0,0,0,6105,0,0,0,0,6809,5805,6009
064-13-0353,12864,11820,0,0,0,0,14552,0,0,0,0,12420,14172,11120
064-13-0358,5764,0,0,0,5596,0,7452,0,0,0,6196,0,0,5360
064-13-0359,4470,0,0,0,4254,0,5398,0,0,0,4598,0,0,4494
064-13-0365,0,0,0,0,0,0,15683,0,0,0,0,14171,13691,0
064-13-0370,0,0,0,0,0,0,2538,0,0,0,0,1238,0,0
064-13-0371,0,0,0,0,0,0,1304,0,0,0,0,1584,0,1536
064-13-0397,5894,0,0,0,0,0,6442,0,0,0,0,6706,5726,5706
064-13-0402,0,0,0,0,0,535,583,0,0,0,0,0,0,535
064-13-0403,0,0,0,0,0,0,437,0,0,0,0,547,0,495
064-13-0416,10623,7699,0,0,0,8699,12605,0,0,0,0,11499,13305,10499
064-13-0417,7393,0,0,0,0,0,7921,0,0,0,0,8209,7611,0
064-13-0425,0,0,0,0,0,0,812,0,0,0,0,772,0,824
064-13-0426,0,0,0,0,0,0,1119,0,0,0,0,1143,0,1043
064-13-0432,5296,0,0,0,0,5768,5660,0,0,0,0,4968,5538,0
064-13-0433,7799,0,0,0,0,8799,13651,0,0,0,0,14799,10945,8799
064-13-0438,4767,0,0,0,4079,0,5771,0,0,0,5351,4967,0,4567
064-13-0439,4244,0,0,0,0,0,5372,0,0,0,4872,4792,0,4392
064-13-0563,346,0,0,0,510,0,1894,0,0,0,0,1094,0,794
064-13-3653,0,0,0,0,0,0,6685,0,0,0,0,6685,6329,6465
064-13-3896,0,0,0,0,0,0,8973,0,0,0,0,0,9161,0
064-13-4782,0,0,0,0,0,0,773,0,0,0,0,1349,0,849
064-13-5550,0,0,0,0,0,0,7566,0,0,0,0,0,7774,7434
064-13-5554,0,0,0,0,0,0,7366,0,0,0,0,0,7330,0
064-13-6802,19665,0,0,0,0,0,19797,0,0,0,0,18913,18357,17613
064-13-8580,0,0,0,0,0,0,6427,0,0,0,0,0,6375,6027
064-13-8947,0,0,0,0,0,0,16456,0,0,0,0,0,0,0
064-15-5738,17063,12915,0,0,14195,0,20823,0,0,0,17691,0,0,15715
064-15-5777,22425,0,0,0,8201,10505,16077,0,0,0,11433,11505,0,9005
064-15-6305,24846,19674,0,0,19514,20574,29594,0,0,0,24726,21874,0,20874
064-15-7068,21889,13745,0,0,17009,16573,24233,0,0,0,20637,15573,0,14573
064-15-7174,21300,7264,0,0,11408,0,15000,0,0,0,11776,8000,0,9500
064-18-0267,9192,10092,0,10092,9732,0,0,0,0,0,13674,10710,0,10710
064-18-0493,5193,5961,0,5961,6301,5537,5537,0,0,0,8097,5629,0,5629
064-18-0494,6701,6929,0,6929,8533,6121,6121,0,0,0,8317,8673,0,8673
064-18-1490,0,0,23500,0,0,17998,0,0,0,17998,0,17920,0,17920
064-18-2305,7450,8272,0,8272,7864,7546,7546,0,0,0,11644,9568,0,9568
064-18-2320,4950,0,0,0,6480,5628,5628,0,0,0,6504,4590,0,4590
064-18-2358,8742,8730,0,8730,10914,0,0,0,0,0,13176,9348,0,9348
064-18-2852,7003,0,0,0,7999,8047,8047,0,0,0,9487,7723,0,7723
064-18-2853,4985,0,0,0,5453,6383,6383,0,0,0,7163,4781,0,4781
064-18-2854,9877,9235,0,9235,12607,0,0,0,0,0,13105,10081,0,10081
064-18-3316,0,0,0,0,0,7854,7854,0,0,0,0,8734,0,8734
064-18-3436,0,0,0,0,0,0,4791,0,0,0,5171,0,0,0
064-18-3665,12911,0,0,0,13655,0,0,0,0,0,16133,14669,0,14669
064-18-3712,6820,0,0,0,9598,7336,7336,0,0,0,10456,7738,0,6904
064-18-3723,15552,0,0,0,16122,15744,15744,0,16728,0,20148,15624,0,15624
064-18-3729,16947,19551,0,19551,17145,16833,16833,0,18795,0,23931,17997,0,17997
064-18-5658,0,0,0,0,0,0,0,0,0,0,7763,5823,0,5823
064-18-5659,8229,0,0,0,9981,9465,9465,0,0,0,9577,8933,0,8933
064-18-5660,9593,0,0,0,11341,10489,10489,0,0,0,10373,10869,0,10869
064-18-6538,7252,6772,0,6772,9076,0,0,0,0,0,9682,7804,0,7804
064-18-6539,6185,4973,0,4973,8921,6371,6371,0,0,0,9029,6353,0,6353
064-18-6577,11519,0,0,0,13007,0,0,0,0,0,14741,0,0,0
064-18-6578,23151,0,0,0,25179,0,0,0,0,0,29241,25131,0,25131
064-18-7128,0,0,0,0,0,13208,13208,0,0,0,15196,13312,0,13312
064-18-8362,8542,0,0,0,9382,8766,8766,0,0,0,12162,9222,0,9222
064-18-9089,6689,7537,0,7537,7697,7761,7761,0,0,0,10213,6421,0,6421
064-18-9182,18713,0,0,0,24049,18941,18941,0,0,0,22973,17129,0,17129
064-18-9667,0,0,0,0,0,0,0,0,0,0,0,8021,0,8021
064-18-9724,8375,8939,0,8939,9759,0,0,0,0,0,11599,7539,0,7539
064-18-9938,4104,0,0,0,5932,4820,4820,0,0,0,5500,4712,0,4712
